Title,Description,Price,Categories,ImageUrl
The Witcher: Enhanced Edition Director's Cut,"Become The Witcher, Geralt of Rivia, a legendary monster slayer caught in a web of intrigue woven by forces vying for control of the world. Make difficult decisions and live with the consequences in a game that will immerse you in an extraordinary tale like no other.",9.99,"RPG,Fantasy,Story Rich",https://cdn.cloudflare.steamstatic.com/steam/apps/20900/header.jpg
Middle-earth™: Shadow of War™,"Experience an epic open-world brought to life by the award-winning Nemesis System. Forge a new Ring of Power, conquer Fortresses in massive battles and dominate Mordor with your personal orc army in Middle-earth™: Shadow of War™.",0.00,"Open World,Action,RPG",https://cdn.cloudflare.steamstatic.com/steam/apps/356190/header.jpg
Forts,"Forts is a physics-based RTS where foes design and build custom bases, arm them to the teeth and blast their opponent's creations to rubble.",14.99,"Strategy,Base Building,Action",https://cdn.cloudflare.steamstatic.com/steam/apps/410900/header.jpg
The Lord of the Rings Online™,Join the world’s greatest fellowship of players in the award-winning online re-creation of J. R. R. Tolkien’s legendary Middle-earth.,0.00,"Free to Play,MMORPG,Massively Multiplayer",https://cdn.cloudflare.steamstatic.com/steam/apps/212500/header.jpg
Stellaris: Ascension Pack,Stellaris: Ascension Pack bundle,0.00,NaN,https://picsum.photos/seed/game/400/200
Dungeon Munchies,Hunt down monsters to cook and eat them! You’ve been revived in a massive underground complex and you must leave this bizarre facility.,13.99,"Early Access,Indie,Action",https://cdn.cloudflare.steamstatic.com/steam/apps/799640/header.jpg
Grand Theft Auto IV: Complete Edition,"PLEASE NOTE: Microsoft no longer supports creating Games for Windows-LIVE accounts within Grand Theft Auto IV. You can create an account through account.xbox.com and then log into your account in game. This standalone retail title spans three distinct stories, interwoven to create one of the most unique and engaging single-player...",29.99,"Open World,Action,Bowling",https://cdn.cloudflare.steamstatic.com/steam/apps/901583/header.jpg
Pillars of Eternity,"Prepare to be enchanted by a world where the choices you make and the paths you choose shape your destiny. Obsidian Entertainment, the developer of Fallout: New Vegas™ and South Park: The Stick of Truth™, together with Paradox Interactive is proud to present Pillars of Eternity.",59.98,"RPG,Fantasy,Isometric",https://cdn.cloudflare.steamstatic.com/steam/apps/291650/header.jpg
Graveyard Keeper,"Build and manage a medieval graveyard while facing ethical dilemmas and making questionable decisions. Welcome to Graveyard Keeper, the most inaccurate medieval cemetery sim of the year.",19.99,"Pixel Graphics,Crafting,RPG",https://cdn.cloudflare.steamstatic.com/steam/apps/599140/header.jpg
The Elder Scrolls®: Legends™,The Elder Scrolls: Legends™ is an award- winning free-to-play strategy card game based on the world and lore of the Elder Scrolls series. Play for hours or minutes across many game modes that are easy to learn but challenging to master.,0.00,"Free to Play,Card Game,Trading Card Game",https://cdn.cloudflare.steamstatic.com/steam/apps/364470/header.jpg
RESIDENT EVIL 2 / BIOHAZARD RE:2 Deluxe Edition,RESIDENT EVIL 2 / BIOHAZARD RE:2 Deluxe Edition bundle,69.99,NaN,https://picsum.photos/seed/game/400/200
Northgard,Northgard is a strategy game based on Norse mythology in which you control a clan of Vikings vying for the control of a mysterious newfound continent.,29.99,"Strategy,City Builder,RTS",https://cdn.cloudflare.steamstatic.com/steam/apps/466560/header.jpg
Realm Royale,Be the last Champion standing in Realm Royale! Loot deadly weapons and powerful abilities to create your own Champion. Explore a fantasy world from horseback while outrunning the deadly fog. Can you survive the first 100-person fantasy Battle Royale?,0.00,"Early Access,Battle Royale,Free to Play",https://cdn.cloudflare.steamstatic.com/steam/apps/813820/header.jpg
Sid Meier’s Civilization VI Gold Edition,Sid Meier’s Civilization VI Gold Edition bundle,0.00,NaN,https://picsum.photos/seed/game/400/200
Gang Beasts,"Gang Beasts is a silly multiplayer party game with surly gelatinous characters, brutal slapstick fight sequences, and absurd hazardous environments, set in the mean streets of Beef City.",19.99,"Funny,Multiplayer,Fighting",https://cdn.cloudflare.steamstatic.com/steam/apps/285900/header.jpg
Age of Empires Legacy Bundle,Age of Empires Legacy Bundle bundle,0.00,NaN,https://picsum.photos/seed/game/400/200
Total War: MEDIEVAL II – Definitive Edition,"Spanning the most turbulent era in Western history, your quest for territory and power takes you through Europe, Africa, the Middle East, and even onto the shores of the New World.",24.99,"Strategy,Medieval,Historical",https://cdn.cloudflare.steamstatic.com/steam/apps/4700/header.jpg
Tales of Vesperia: Definitive Edition,Celebrate the 10th anniversary of Tales of Vesperia and the return of this fan-favorite with the Definitive Edition!,49.99,"JRPG,RPG,Anime",https://cdn.cloudflare.steamstatic.com/steam/apps/738540/header.jpg
FINAL FANTASY X/X-2 HD Remaster,"FINAL FANTASY X/X-2 HD Remaster celebrates two of the most cherished and beloved entries to the world-renowned franchise, completely remastered in gorgeous High Definition & now available on PC / Windows!",29.99,"JRPG,Story Rich,RPG",https://cdn.cloudflare.steamstatic.com/steam/apps/359870/header.jpg
Return of the Obra Dinn,Lost at sea 1803 ~ The good ship Obra Dinn.,19.99,"Detective,Mystery,Story Rich",https://cdn.cloudflare.steamstatic.com/steam/apps/653530/header.jpg
Castle Crashers®,"Hack, slash, and smash your way to victory in this award winning 2D arcade adventure from The Behemoth!",14.99,"Co-op,Action,Multiplayer",https://cdn.cloudflare.steamstatic.com/steam/apps/204360/header.jpg
FINAL FANTASY XV EPISODE ARDYN COMPLETE EDITION,FINAL FANTASY XV EPISODE ARDYN COMPLETE EDITION bundle,0.00,NaN,https://picsum.photos/seed/game/400/200
Call of Duty®: WWII,Call of Duty® returns to its roots with Call of Duty®: WWII - a breathtaking experience that redefines World War II for a new gaming generation.,1.02,"World War II,FPS,Multiplayer",https://cdn.cloudflare.steamstatic.com/steam/apps/476600/header.jpg
MudRunner,"MudRunner is the ultimate off-road experience putting the players in the driver seat and dares them to take charge of incredible all-terrain vehicles, venturing across extreme Siberian landscapes with only a map and compass as guides!",24.99,"Offroad,Simulation,Driving",https://cdn.cloudflare.steamstatic.com/steam/apps/675010/header.jpg
Keep Talking and Nobody Explodes,"Find yourself trapped alone in a room with a ticking time bomb. Your friends have the manual to defuse it, but they can't see the bomb, so you're going to have to talk it out – fast!",76.95,"Co-op,Puzzle,Local Co-Op",https://cdn.cloudflare.steamstatic.com/steam/apps/341800/header.jpg
